Topic,scopus_id,year
-1,2-s2.0-85089783315,2020
31,2-s2.0-85097926808,2020
25,2-s2.0-85102748627,2020
35,2-s2.0-85099151103,2020
10,2-s2.0-85096831948,2020
13,2-s2.0-85096081042,2020
5,2-s2.0-85093923426,2020
-1,2-s2.0-85091839014,2020
-1,2-s2.0-85089858209,2020
-1,2-s2.0-85089856228,2020
39,2-s2.0-85086255287,2020
11,2-s2.0-85084455700,2020
-1,2-s2.0-85082931035,2020
1,2-s2.0-85082105444,2020
8,2-s2.0-85069873355,2020
27,2-s2.0-85067807220,2020
0,2-s2.0-85083328787,2020
0,2-s2.0-85096836576,2020
-1,2-s2.0-85087707112,2020
1,2-s2.0-85102748434,2020
-1,2-s2.0-85096101709,2020
9,2-s2.0-85096842967,2020
-1,2-s2.0-85096300202,2020
34,2-s2.0-85090949144,2020
32,2-s2.0-85088034729,2020
17,2-s2.0-85086711516,2020
21,2-s2.0-85079137205,2020
-1,2-s2.0-85092753370,2020
23,2-s2.0-85093705792,2020
1,2-s2.0-85092601893,2020
-1,2-s2.0-85101049600,2020
-1,2-s2.0-85091885194,2020
28,2-s2.0-85089857483,2020
-1,2-s2.0-85088964625,2020
28,2-s2.0-85111784565,2020
4,2-s2.0-85096365085,2020
14,2-s2.0-85086782499,2020
-1,2-s2.0-85076880293,2020
1,2-s2.0-85091701852,2020
-1,2-s2.0-85040968528,2020
11,2-s2.0-85088159399,2020
-1,2-s2.0-85076903106,2020
-1,2-s2.0-85096866970,2020
-1,2-s2.0-85095602266,2020
0,2-s2.0-85090760832,2020
5,2-s2.0-85090418286,2020
2,2-s2.0-85089722858,2020
2,2-s2.0-85088800687,2020
-1,2-s2.0-85088794851,2020
10,2-s2.0-85088146181,2020
-1,2-s2.0-85087797051,2020
13,2-s2.0-85087555736,2020
-1,2-s2.0-85087318007,2020
7,2-s2.0-85084998474,2020
3,2-s2.0-85087003202,2020
-1,2-s2.0-85090376700,2020
15,2-s2.0-85086919757,2020
1,2-s2.0-85089896832,2020
-1,2-s2.0-85074822766,2020
30,2-s2.0-85090895736,2020
2,2-s2.0-85129986522,2020
-1,2-s2.0-85086574897,2020
15,2-s2.0-85088475381,2020
8,2-s2.0-85090636361,2020
9,2-s2.0-85089233443,2020
26,2-s2.0-85050656730,2020
31,2-s2.0-85087871498,2020
-1,2-s2.0-85087373863,2020
52,2-s2.0-85090078412,2020
1,2-s2.0-85089134764,2020
10,2-s2.0-85085933862,2020
-1,2-s2.0-85084138406,2020
13,2-s2.0-85084033179,2020
-1,2-s2.0-85083549186,2020
1,2-s2.0-85083052779,2020
-1,2-s2.0-85082505522,2020
-1,2-s2.0-85081981927,2020
39,2-s2.0-85075335707,2020
-1,2-s2.0-85062918097,2020
40,2-s2.0-85062724922,2020
-1,2-s2.0-85087320942,2020
5,2-s2.0-85083062949,2020
37,2-s2.0-85088587547,2020
30,2-s2.0-85076596089,2020
40,2-s2.0-85076595230,2020
0,2-s2.0-85090925001,2020
1,2-s2.0-85085123564,2020
55,2-s2.0-85086109774,2020
0,2-s2.0-85085492029,2020
16,2-s2.0-85085009938,2020
13,2-s2.0-85086008268,2020
-1,2-s2.0-85086574772,2020
26,2-s2.0-85096665504,2020
31,2-s2.0-85092068426,2020
0,2-s2.0-85091333324,2020
4,2-s2.0-85091086642,2020
13,2-s2.0-85086346003,2020
-1,2-s2.0-85086264271,2020
8,2-s2.0-85085956611,2020
-1,2-s2.0-85085855337,2020
-1,2-s2.0-85083827771,2020
-1,2-s2.0-85075735499,2020
-1,2-s2.0-85074438902,2020
-1,2-s2.0-85074012194,2020
15,2-s2.0-85064451858,2020
32,2-s2.0-85064346125,2020
0,2-s2.0-85082196461,2020
4,2-s2.0-85092434028,2020
24,2-s2.0-85088578395,2020
0,2-s2.0-85086944432,2020
-1,2-s2.0-85086125512,2020
12,2-s2.0-85086102532,2020
2,2-s2.0-85081970036,2020
51,2-s2.0-85078660943,2020
0,2-s2.0-85062971088,2020
19,2-s2.0-85061617229,2020
1,2-s2.0-85082196642,2020
-1,2-s2.0-85078731605,2020
-1,2-s2.0-85076855149,2020
11,2-s2.0-85077024332,2020
21,2-s2.0-85077021646,2020
36,2-s2.0-85074603025,2020
12,2-s2.0-85063916977,2020
25,2-s2.0-85046483531,2020
28,2-s2.0-85102883607,2020
